epoch_idx	precision@20	recall@20	ndcg@20
0.0	0.09380717987927394	0.18761435975854787	0.16717225041917907
1.0	0.09354914560103092	0.18709829120206184	0.1665796465825561
2.0	0.09189538061863488	0.18379076123726976	0.1628796743769536
3.0	0.09193056711366471	0.18386113422732941	0.16295908777198478
4.0	0.09229416084466421	0.18458832168932843	0.16349433208761746
5.0	0.09273985635428929	0.18547971270857858	0.1644625861961085
6.0	0.09343185731514138	0.18686371463028276	0.1655538599841539
7.0	0.09305653476761228	0.18611306953522455	0.16472892996859193
8.0	0.09282195817049109	0.18564391634098218	0.16441969341282547
9.0	0.09306826361997039	0.18613652723994079	0.16468236038294862
10.0	0.09374853572671664	0.18749707145343328	0.1661874193673674
11.0	0.09365470508175111	0.18730941016350222	0.16556651292111468
12.0	0.09388928167450297	0.18777856334900594	0.16650537923654016
13.0	0.09427633307526403	0.18855266615052807	0.16689337547417113
14.0	0.09460474029113479	0.18920948058226958	0.16741653413084492
15.0	0.09418250243728943	0.18836500487457886	0.1669104508070521
16.0	0.09488623221379727	0.18977246442759454	0.1683825623878137
17.0	0.09479240156096694	0.18958480312193388	0.1683080702440761
18.0	0.09514426646757204	0.19028853293514408	0.16925184468097468
19.0	0.09539057188733989	0.19078114377467978	0.16940386199907315
20.0	0.09532019892611779	0.19064039785223558	0.16953057618314815
21.0	0.09526155474472292	0.19052310948944584	0.16951181636319312
22.0	0.09445226550759381	0.18890453101518762	0.16769214093763748
23.0	0.09516772411898243	0.19033544823796486	0.16922899387011592
24.0	0.09469857093872192	0.18939714187744383	0.16871008927573336
25.0	0.09581280973157272	0.19162561946314544	0.17036347215553702
26.0	0.09496833400990017	0.18993666801980033	0.1691886258972222
27.0	0.09543748718579134	0.19087497437158268	0.16996092075210978
28.0	0.09560169078061873	0.19120338156123745	0.17034202163327675
29.0	0.09547267367470412	0.19094534734940824	0.17073107872690602
30.0	0.09569552142907974	0.19139104285815947	0.1706054706923503
31.0	0.09650481069329868	0.19300962138659736	0.17201614502993043
32.0	0.0959652844993841	0.1919305689987682	0.1710901360821178
33.0	0.09709125215682714	0.19418250431365427	0.17224207235556385
34.0	0.09698569268659334	0.19397138537318667	0.17282655353046206
35.0	0.0970912521629442	0.1941825043258884	0.17309003035764406
36.0	0.0964461665250118	0.1928923330500236	0.17209045744057755
37.0	0.09636406470706227	0.19272812941412454	0.17151404210986515
