epoch_idx	precision@20	recall@20	ndcg@20
0.0	0.11650185628675559	0.23300371257351118	0.2289149695779552
1.0	0.11699629401873304	0.2339925880374661	0.22988482482259842
2.0	0.1171199034010745	0.234239806802149	0.23005688694745818
3.0	0.11650185636503735	0.2330037127300747	0.22882027147235007
4.0	0.11514215304416102	0.23028430608832204	0.22733149930926244
5.0	0.11545117652073632	0.23090235304147264	0.2274638835377726
6.0	0.11458591076606431	0.22917182153212862	0.22703215697774676
7.0	0.1140296684327099	0.2280593368654198	0.22587930917313595
8.0	0.11402966845112913	0.22805933690225827	0.22595798850276055
9.0	0.1133498167492477	0.2266996334984954	0.22489000258053485
10.0	0.11322620734848698	0.22645241469697397	0.22537104193426874
11.0	0.11279357448496541	0.22558714896993082	0.22482078605241318
12.0	0.11143387121474198	0.22286774242948396	0.22299376539898846
13.0	0.11032138668617743	0.22064277337235486	0.22104912148614128
14.0	0.11050680075738722	0.22101360151477445	0.2216135007563785
15.0	0.10995055842863762	0.21990111685727523	0.22112604069053773
16.0	0.10982694899103845	0.2196538979820769	0.2201909993452075
17.0	0.1093943161367265	0.218788632273453	0.21890335079772882
18.0	0.1092089020194686	0.2184178040389372	0.21881858453255518
19.0	0.10945612083019962	0.21891224166039924	0.22000169479661874
20.0	0.11025958188679369	0.22051916377358738	0.22135859840234048
21.0	0.11100123825451942	0.22200247650903884	0.22195566268330574
22.0	0.10976514433440378	0.21953028866880755	0.22035658787391965
22.0	0.10976514433440378	0.21953028866880755	0.22035658787391965
